open_time,open,high,low,close,volume
1732046220000,93280.73,93280.74,93165.59,93165.59,39.27145
1732046280000,93165.59,93166.82,93060.0,93148.0,39.40875
1732046340000,93147.99,93237.1,93128.48,93227.87,37.67149
1732046400000,93227.87,93271.54,93150.0,93150.01,41.78871
1732046460000,93150.0,93196.0,93073.46,93178.05,32.91916
1732046520000,93178.05,93215.99,93070.0,93179.49,24.96222
1732046580000,93179.49,93208.0,93156.0,93184.4,18.4559
1732046640000,93184.4,93285.79,93184.4,93285.78,12.11151
1732046700000,93285.78,93374.92,93262.65,93347.99,34.60512
1732046760000,93347.99,93348.0,93262.27,93317.15,21.55582
1732046820000,93317.15,93384.62,93306.88,93376.02,21.5293
1732046880000,93376.02,93384.61,93346.49,93346.49,13.73821
1732046940000,93346.49,93420.0,93346.49,93418.92,12.93559
1732047000000,93418.92,93484.0,93418.91,93447.99,20.3216
1732047060000,93447.99,93524.0,93447.99,93523.99,27.45475
1732047120000,93523.99,93571.08,93492.06,93512.32,25.69356
1732047180000,93512.32,93559.99,93492.0,93556.02,17.76936
1732047240000,93556.02,93557.45,93528.78,93528.79,17.58492
1732047300000,93528.79,93528.79,93428.01,93442.99,27.04793
1732047360000,93442.98,93515.16,93402.33,93424.25,34.43974
1732047420000,93424.25,93490.69,93400.0,93490.68,12.95798
1732047480000,93490.68,93546.63,93490.68,93543.99,17.03237
1732047540000,93543.99,93544.0,93456.0,93469.31,19.2317
1732047600000,93469.32,93493.48,93379.99,93400.99,117.57223
1732047660000,93400.99,93416.0,93199.52,93263.64,115.27115
1732047720000,93263.65,93336.0,93100.0,93151.99,64.87425
1732047780000,93152.0,93182.97,93069.37,93096.01,66.56828
1732047840000,93096.0,93099.82,92953.11,93003.9,81.81325
1732047900000,93003.91,93076.93,92855.01,92891.99,67.70624
1732047960000,92891.99,92979.98,92885.57,92976.0,20.97823
1732048020000,92976.0,92976.01,92887.98,92947.97,29.09718
1732048080000,92947.97,93069.12,92940.0,93036.04,26.2247
1732048140000,93036.04,93126.51,92991.23,93126.5,29.12384
1732048200000,93126.5,93376.5,93126.5,93130.87,96.16808
1732048260000,93130.87,93130.88,92904.0,92922.97,41.77452
1732048320000,92922.97,93103.53,92922.97,93103.52,33.79089
1732048380000,93103.52,93107.99,92984.0,93031.42,58.77909
1732048440000,93031.41,93088.0,93020.0,93041.71,33.43405
1732048500000,93041.71,93120.0,93021.15,93027.17,23.62757
1732048560000,93027.17,93036.71,92871.79,92886.6,33.17917
1732048620000,92886.6,92924.7,92870.64,92911.7,26.93919
1732048680000,92911.71,92930.0,92891.84,92906.98,25.46552
1732048740000,92906.99,92924.99,92871.79,92871.8,18.16115
1732048800000,92871.79,92939.4,92828.0,92846.57,24.01548
1732048860000,92846.58,92884.0,92764.5,92804.38,35.53585
1732048920000,92804.38,92846.41,92748.45,92810.82,32.14705
1732048980000,92810.82,92900.0,92796.19,92900.0,18.00614
1732049040000,92900.0,92974.36,92892.0,92966.53,19.28366
1732049100000,92966.53,93000.0,92818.18,92821.19,19.15147
1732049160000,92821.19,92828.22,92750.0,92756.67,30.65353
1732049220000,92756.68,92824.0,92637.53,92808.0,65.69099
1732049280000,92807.99,92840.0,92728.0,92745.91,24.42275
1732049340000,92745.91,92775.28,92656.0,92699.02,30.15705
1732049400000,92699.01,92710.42,92433.17,92577.54,125.55435
1732049460000,92577.53,92700.0,92568.0,92658.74,43.19572
1732049520000,92658.74,92658.74,92552.01,92587.99,22.31081
1732049580000,92587.99,92587.99,92436.01,92436.01,91.83862
1732049640000,92436.01,92436.01,92200.0,92258.1,132.39307
1732049700000,92258.11,92336.0,92196.0,92196.01,43.05637
1732049760000,92196.01,92563.4,92165.05,92456.01,91.26652
1732049820000,92456.01,92567.02,92451.71,92567.01,57.22968
1732049880000,92567.01,92567.01,92445.76,92445.77,25.93379
1732049940000,92445.78,92564.62,92366.62,92458.0,47.12846
1732050000000,92457.99,92543.34,92444.01,92543.34,20.90297
1732050060000,92543.34,92585.1,92530.79,92530.79,18.12318
1732050120000,92530.79,92560.01,92500.37,92531.99,9.76741
1732050180000,92531.98,92633.0,92531.98,92632.0,12.30991
1732050240000,92632.0,92690.38,92606.06,92679.99,38.07861
1732050300000,92679.99,92748.0,92679.99,92721.9,28.78347
1732050360000,92721.9,92721.9,92356.0,92376.28,85.99532
1732050420000,92376.28,92376.28,92202.32,92236.0,44.36694
1732050480000,92236.0,92308.0,92192.18,92225.2,34.88659
1732050540000,92225.2,92336.0,92225.2,92244.0,23.75726
1732050600000,92244.01,92264.0,92188.0,92208.79,34.49498
1732050660000,92208.78,92248.0,92179.09,92179.09,22.43182
1732050720000,92179.09,92200.0,92114.19,92114.4,24.11858
1732050780000,92114.39,92302.0,92105.0,92298.52,38.69016
1732050840000,92298.52,92298.52,92164.75,92196.0,31.4726
1732050900000,92196.0,92333.34,92195.99,92260.0,21.08235
1732050960000,92260.0,92310.64,92200.0,92310.64,14.60903
1732051020000,92310.64,92310.64,92112.72,92112.72,23.33826
1732051080000,92112.72,92192.0,92039.43,92056.9,71.32412
1732051140000,92056.89,92100.0,91964.15,92095.99,191.20922
1732051200000,92095.98,92095.98,91956.06,91970.59,41.24959
1732051260000,91970.59,92000.0,91900.0,91911.75,45.89308
1732051320000,91911.75,92000.0,91878.72,91900.0,32.33227
1732051380000,91900.0,91969.7,91822.0,91827.37,40.59756
1732051440000,91827.38,91965.71,91800.0,91899.99,103.17164
1732051500000,91899.99,92051.29,91888.0,92030.24,25.08496
1732051560000,92031.27,92060.9,91956.0,92060.89,25.15693
1732051620000,92060.9,92172.0,92052.0,92144.66,28.48191
1732051680000,92144.65,92232.0,92100.0,92214.24,22.47956
1732051740000,92214.24,92266.65,92199.99,92199.99,23.32199
1732051800000,92199.99,92389.07,92199.99,92346.38,44.88136
1732051860000,92346.38,92448.48,92344.07,92344.07,28.15065
1732051920000,92344.07,92427.25,92323.15,92363.99,25.97524
1732051980000,92363.99,92394.24,92287.2,92287.2,91.26292
1732052040000,92287.21,92287.21,92075.07,92143.64,107.7137
1732052100000,92143.64,92329.0,92143.64,92329.0,24.43126
1732052160000,92329.0,92333.34,92252.68,92276.0,12.93159
1732052220000,92276.0,92296.47,92200.0,92243.99,21.40113
1732052280000,92243.99,92268.66,92060.6,92075.99,60.18259
